Age,Area,CreditAvlb,Firsthand,FloorCount,FloorNumber,Frontage,Fuel,Furniture,Heating,MaintenanceFee,Price,Room,Town,Typeofit
7,85,Uygun,İkinci El,13,8,"Güney,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),117,141000,3,Etimesgut,Daire
0,180,Uygun,Sıfır,4,4,"Kuzey,Batı",Doğalgaz,Eşyalı Değil,Kombi,,1050000,5,Çankaya,Daire
16,185,Uygun,İkinci El,7,4,"Kuzey,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi,450,835000,5,Çankaya,Daire
1,220,Uygun,Sıfır,24,4,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),200,1350000,5,Çankaya,Daire
10,130,Uygun,İkinci El,3,En Üst Kat,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,20,189000,4,Keçiören,Daire
19,130,Uygun,Sıfır,7,3,"Güney,Batı",Doğalgaz,Eşyalı Değil,Merkezi,400,525000,4,Çankaya,Daire
0,115,Uygun,Sıfır,4,Çatı Katı,"Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,150,950000,4,Çankaya,Daire
0,176,Uygun,Sıfır,7,3,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,,765000,5,Gölbaşı,Daire
0,135,Uygun,Sıfır,11,9,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,,480000,5,Mamak,Daire
0,280,Uygun,Sıfır,13,12,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,75,750000,6,Mamak,Daire
12,145,Uygun,İkinci El,8,Yüksek Giriş,"Güney,Batı",Doğalgaz,Eşyalı,Kombi,100,333000,4,Etimesgut,Daire
4,196,Uygun,İkinci El,13,10,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),580,1175000,5,Çankaya,Daire
5,255,Uygun,İkinci El,4,4,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,60,420000,5,Mamak,Daire
1,70,Uygun,Sıfır,10,4,"Güney,Batı",,Eşyalı Değil,Merkezi (Pay Ölçer),215,290000,2,Yenimahalle,Daire
0,220,Uygun,Sıfır,2,2,"Kuzey,Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,55,515000,5,Çankaya,Daire
18,128,Uygun,İkinci El,9,5,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,100,319000,4,Çankaya,Daire
3,110,Uygun,İkinci El,3,1,Güney,Doğalgaz,Eşyalı Değil,Kombi,40,300000,3,Keçiören,Daire
18,150,Uygun,İkinci El,13,2,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi,400,430000,4,Yenimahalle,Daire
3,135,Uygun,İkinci El,3,3,"Kuzey,Doğu",Doğalgaz,Eşyalı Değil,Kombi,40,398000,4,Etimesgut,Daire
7,137,Uygun,İkinci El,6,Giriş Katı,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),160,170000,4,Etimesgut,Daire
0,195,Uygun,Sıfır,28,1,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),250,775000,5,Keçiören,Daire
0,155,Uygun,Sıfır,3,3,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,150,805000,4,Çankaya,Daire
1,190,Uygun,Sıfır,10,10,,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,799000,5,Etimesgut,Daire
0,89,Uygun,Sıfır,12,4,Güney,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),120,275000,3,Etimesgut,Daire
0,135,Uygun,Sıfır,3,2,Batı,Doğalgaz,Eşyalı Değil,Kombi,35,285000,4,Altındağ,Daire
21,135,Uygun,İkinci El,14,2,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),450,625000,4,Çankaya,Daire
15,160,Uygun,İkinci El,4,2,Batı,Doğalgaz,Eşyalı Değil,Kombi,50,575000,4,Çankaya,Daire
10,140,Uygun,İkinci El,4,3,Güney,Doğalgaz,Eşyalı Değil,Kombi,50,295000,4,Keçiören,Daire
22,125,Uygun,Sıfır,3,3,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,389000,4,Çankaya,Daire
7,94,Uygun,İkinci El,13,1,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),117,130000,3,Etimesgut,Daire
25,125,Uygun,İkinci El,3,3,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,30,298000,4,Çankaya,Daire
15,175,Uygun,İkinci El,4,2,"Kuzey,Doğu",Doğalgaz,Eşyalı Değil,Kombi,60,510000,4,Çankaya,Daire
14,155,Uygun,İkinci El,4,1,Güney,Doğalgaz,Eşyalı Değil,Kombi,100,317000,4,Çankaya,Daire
5,110,Uygun,İkinci El,3,1,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,40,160000,3,Keçiören,Daire
0,180,Uygun,Sıfır,5,2,Doğu,Doğalgaz,Eşyalı Değil,Kombi,50,460000,5,Yenimahalle,Daire
15,300,Uygun,İkinci El,4,Villa Katı,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,100,715000,8,Etimesgut,Daire
7,120,Uygun,İkinci El,2,2,,Doğalgaz,Eşyalı Değil,Kombi,,229000,3,Pursaklar,Daire
10,130,Uygun,İkinci El,4,Giriş Katı,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,30,190000,4,Mamak,Daire
0,270,Uygun,İkinci El,4,4,"Kuzey,Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,60,795000,6,Yenimahalle,Daire
16,320,Uygun,İkinci El,5,Yüksek Giriş,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,150,750000,6,Çankaya,Daire
18,180,Uygun,İkinci El,8,1,"Güney,Batı",Doğalgaz,Eşyalı Değil,Merkezi,,1050000,5,Keçiören,Daire
13,145,Uygun,İkinci El,4,1,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,60,550000,4,Çankaya,Daire
0,400,Uygun,Sıfır,9,Çatı Katı,"Kuzey,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,100,750000,7,Etimesgut,Daire
14,125,Uygun,İkinci El,3,2,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,310000,4,Keçiören,Daire
0,100,Uygun,Sıfır,9,Giriş Katı,,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,229000,3,Pursaklar,Daire
0,145,Uygun,Sıfır,3,1,Doğu,Doğalgaz,Eşyalı Değil,Kombi,50,385000,5,Keçiören,Daire
14,125,Uygun,İkinci El,4,Yüksek Giriş,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,30,275000,4,Çankaya,Daire
0,185,Uygun,Sıfır,5,1,Doğu,Doğalgaz,Eşyalı Değil,Kombi,50,440000,5,Yenimahalle,Daire
10,135,Uygun,İkinci El,4,3,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,50,268000,4,Keçiören,Daire
0,175,Uygun,Sıfır,5,2,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,100,700000,5,Çankaya,Daire
8,130,Uygun,İkinci El,3,2,"Doğu,Batı",Doğalgaz,Eşyalı,Kombi,30,285000,4,Sincan,Daire
4,200,Uygun,İkinci El,29,20,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),350,1150000,5,Etimesgut,Daire
1,100,Uygun,Sıfır,12,7,Kuzey,Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,549000,3,Etimesgut,Daire
0,130,Uygun,Sıfır,3,2,"Kuzey,Doğu",Doğalgaz,Eşyalı Değil,Kombi,,530000,4,Keçiören,Daire
0,204,Uygun,Sıfır,31,6,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,1300000,5,Çankaya,Daire
13,220,Uygun,İkinci El,3,3,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,,260000,6,Mamak,Daire
3,165,Uygun,İkinci El,5,3,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,,230000,4,Akyurt,Daire
9,146,Uygun,İkinci El,4,1,"Kuzey,Doğu",Doğalgaz,Eşyalı Değil,Kombi,70,262000,4,Çankaya,Daire
10,100,Uygun,İkinci El,3,Bahçe Katı,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,,85000,3,Akyurt,Daire
0,230,Uygun,Sıfır,33,12,"Güney,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),570,1300000,6,Gölbaşı,Daire
0,170,Uygun,Sıfır,3,En Üst Kat,,Doğalgaz,Eşyalı Değil,Kombi,,620000,4,Çankaya,Daire
6,190,Uygun,İkinci El,3,3,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,45,315000,6,Mamak,Daire
13,150,Uygun,İkinci El,6,1,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,525000,4,Çankaya,Daire
14,185,Uygun,İkinci El,3,3,Doğu,Doğalgaz,Eşyalı Değil,Kombi,40,450000,5,Keçiören,Daire
12,135,Uygun,İkinci El,9,2,"Kuzey,Batı",Doğalgaz,Eşyalı Değil,Kombi,150,293000,4,Etimesgut,Daire
